car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
11,2,bmw 320i,gas,std,two,sedan,rwd,front,1012.0,1768.0,648.0,543.0,2395,ohc,four,108,mpfi,35.0,28.0,88.0,101,5800,23,29,16430.0
12,0,bmw 320i,gas,std,four,sedan,rwd,front,1012.0,1768.0,648.0,543.0,2395,ohc,four,108,mpfi,35.0,28.0,88.0,101,5800,23,29,16925.0
13,0,bmw x1,gas,std,two,sedan,rwd,front,1012.0,1768.0,648.0,543.0,2710,ohc,six,164,mpfi,331.0,319.0,9.0,121,4250,21,28,20970.0
14,0,bmw x3,gas,std,four,sedan,rwd,front,1012.0,1768.0,648.0,543.0,2765,ohc,six,164,mpfi,331.0,319.0,9.0,121,4250,21,28,21105.0
15,1,bmw z4,gas,std,four,sedan,rwd,front,1035.0,189.0,669.0,557.0,3055,ohc,six,164,mpfi,331.0,319.0,9.0,121,4250,20,25,24565.0
16,0,bmw x4,gas,std,four,sedan,rwd,front,1035.0,189.0,669.0,557.0,3230,ohc,six,209,mpfi,362.0,339.0,8.0,182,5400,16,22,30760.0
17,0,bmw x5,gas,std,two,sedan,rwd,front,1035.0,1938.0,679.0,537.0,3380,ohc,six,209,mpfi,362.0,339.0,8.0,182,5400,16,22,41315.0
18,0,bmw x3,gas,std,four,sedan,rwd,front,110.0,197.0,709.0,563.0,3505,ohc,six,209,mpfi,362.0,339.0,8.0,182,5400,15,20,36880.0
19,2,chevrolet impala,gas,std,two,hatchback,fwd,front,884.0,1411.0,603.0,532.0,1488,l,three,61,2bbl,291.0,303.0,95.0,48,5100,47,53,5151.0
20,1,chevrolet monte carlo,gas,std,two,hatchback,fwd,front,945.0,1559.0,636.0,52.0,1874,ohc,four,90,2bbl,303.0,311.0,96.0,70,5400,38,43,6295.0
21,0,chevrolet vega 2300,gas,std,four,sedan,fwd,front,945.0,1588.0,636.0,52.0,1909,ohc,four,90,2bbl,303.0,311.0,96.0,70,5400,38,43,6575.0
22,1,dodge rampage,gas,std,two,hatchback,fwd,front,937.0,1573.0,638.0,508.0,1876,ohc,four,90,2bbl,297.0,323.0,941.0,68,5500,37,41,5572.0
23,1,dodge challenger se,gas,std,two,hatchback,fwd,front,937.0,1573.0,638.0,508.0,1876,ohc,four,90,2bbl,297.0,323.0,94.0,68,5500,31,38,6377.0
24,1,dodge d200,gas,turbo,two,hatchback,fwd,front,937.0,1573.0,638.0,508.0,2128,ohc,four,98,mpfi,303.0,339.0,76.0,102,5500,24,30,7957.0
25,1,dodge monaco (sw),gas,std,four,hatchback,fwd,front,937.0,1573.0,638.0,506.0,1967,ohc,four,90,2bbl,297.0,323.0,94.0,68,5500,31,38,6229.0
26,1,dodge colt hardtop,gas,std,four,sedan,fwd,front,937.0,1573.0,638.0,506.0,1989,ohc,four,90,2bbl,297.0,323.0,94.0,68,5500,31,38,6692.0
27,1,dodge colt (sw),gas,std,four,sedan,fwd,front,937.0,1573.0,638.0,506.0,1989,ohc,four,90,2bbl,297.0,323.0,94.0,68,5500,31,38,7609.0
28,1,dodge coronet custom,gas,turbo,two,sedan,fwd,front,937.0,1573.0,638.0,506.0,2191,ohc,four,98,mpfi,303.0,339.0,76.0,102,5500,24,30,8558.0
29,-1,dodge dart custom,gas,std,four,wagon,fwd,front,1033.0,1746.0,646.0,598.0,2535,ohc,four,122,2bbl,334.0,346.0,85.0,88,5000,24,30,8921.0
30,3,dodge coronet custom (sw),gas,turbo,two,hatchback,fwd,front,959.0,1732.0,663.0,502.0,2811,ohc,four,156,mfi,36.0,39.0,7.0,145,5000,19,24,12964.0
31,2,honda civic,gas,std,two,hatchback,fwd,front,866.0,1446.0,639.0,508.0,1713,ohc,four,92,1bbl,291.0,341.0,96.0,58,4800,49,54,6479.0
32,2,honda civic cvcc,gas,std,two,hatchback,fwd,front,866.0,1446.0,639.0,508.0,1819,ohc,four,92,1bbl,291.0,341.0,92.0,76,6000,31,38,6855.0
33,1,honda civic,gas,std,two,hatchback,fwd,front,937.0,150.0,64.0,526.0,1837,ohc,four,79,1bbl,291.0,307.0,101.0,60,5500,38,42,5399.0
34,1,honda accord cvcc,gas,std,two,hatchback,fwd,front,937.0,150.0,64.0,526.0,1940,ohc,four,92,1bbl,291.0,341.0,92.0,76,6000,30,34,6529.0
35,1,honda civic cvcc,gas,std,two,hatchback,fwd,front,937.0,150.0,64.0,526.0,1956,ohc,four,92,1bbl,291.0,341.0,92.0,76,6000,30,34,7129.0
36,0,honda accord lx,gas,std,four,sedan,fwd,front,965.0,1634.0,64.0,545.0,2010,ohc,four,92,1bbl,291.0,341.0,92.0,76,6000,30,34,7295.0
37,0,honda civic 1500 gl,gas,std,four,wagon,fwd,front,965.0,1571.0,639.0,583.0,2024,ohc,four,92,1bbl,292.0,341.0,92.0,76,6000,30,34,7295.0
38,0,honda accord,gas,std,two,hatchback,fwd,front,965.0,1675.0,652.0,533.0,2236,ohc,four,110,1bbl,315.0,358.0,9.0,86,5800,27,33,7895.0
39,0,honda civic 1300,gas,std,two,hatchback,fwd,front,965.0,1675.0,652.0,533.0,2289,ohc,four,110,1bbl,315.0,358.0,9.0,86,5800,27,33,9095.0
40,0,honda prelude,gas,std,four,sedan,fwd,front,965.0,1754.0,652.0,541.0,2304,ohc,four,110,1bbl,315.0,358.0,9.0,86,5800,27,33,8845.0
41,0,honda accord,gas,std,four,sedan,fwd,front,965.0,1754.0,625.0,541.0,2372,ohc,four,110,1bbl,315.0,358.0,9.0,86,5800,27,33,10295.0
42,0,honda civic,gas,std,four,sedan,fwd,front,965.0,1754.0,652.0,541.0,2465,ohc,four,110,mpfi,315.0,358.0,9.0,101,5800,24,28,12945.0
43,1,honda civic (auto),gas,std,two,sedan,fwd,front,965.0,1691.0,66.0,51.0,2293,ohc,four,110,2bbl,315.0,358.0,91.0,100,5500,25,31,10345.0
44,0,isuzu MU-X,gas,std,four,sedan,rwd,front,943.0,1707.0,618.0,535.0,2337,ohc,four,111,2bbl,331.0,323.0,85.0,78,4800,24,29,6785.0
45,1,isuzu D-Max ,gas,std,two,sedan,fwd,front,945.0,1559.0,636.0,52.0,1874,ohc,four,90,2bbl,303.0,311.0,96.0,70,5400,38,43,89165.0
46,0,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,945.0,1559.0,636.0,52.0,1909,ohc,four,90,2bbl,303.0,311.0,96.0,70,5400,38,43,89165.0
47,2,isuzu D-Max ,gas,std,two,hatchback,rwd,front,96.0,1726.0,652.0,514.0,2734,ohc,four,119,spfi,343.0,323.0,92.0,90,5000,24,29,11048.0
48,0,jaguar xj,gas,std,four,sedan,rwd,front,113.0,1996.0,696.0,528.0,4066,dohc,six,258,mpfi,363.0,417.0,81.0,176,4750,15,19,32250.0
49,0,jaguar xf,gas,std,four,sedan,rwd,front,113.0,1996.0,696.0,528.0,4066,dohc,six,258,mpfi,363.0,417.0,81.0,176,4750,15,19,35550.0
50,0,jaguar xk,gas,std,two,sedan,rwd,front,102.0,1917.0,706.0,478.0,3950,ohcv,twelve,326,mpfi,354.0,276.0,115.0,262,5000,13,17,36000.0
51,1,maxda rx3,gas,std,two,hatchback,fwd,front,931.0,1591.0,642.0,541.0,1890,ohc,four,91,2bbl,303.0,315.0,9.0,68,5000,30,31,5195.0
52,1,maxda glc deluxe,gas,std,two,hatchback,fwd,front,931.0,1591.0,642.0,541.0,1900,ohc,four,91,2bbl,303.0,315.0,9.0,68,5000,31,38,6095.0
53,1,mazda rx2 coupe,gas,std,two,hatchback,fwd,front,931.0,1591.0,642.0,541.0,1905,ohc,four,91,2bbl,303.0,315.0,9.0,68,5000,31,38,6795.0
54,1,mazda rx-4,gas,std,four,sedan,fwd,front,931.0,1668.0,642.0,541.0,1945,ohc,four,91,2bbl,303.0,315.0,9.0,68,5000,31,38,6695.0
55,1,mazda glc deluxe,gas,std,four,sedan,fwd,front,931.0,1668.0,642.0,541.0,1950,ohc,four,91,2bbl,308.0,315.0,9.0,68,5000,31,38,7395.0
56,3,mazda 626,gas,std,two,hatchback,rwd,front,953.0,169.0,657.0,496.0,2380,rotor,two,70,4bbl,333.0,3255.0,94.0,101,6000,17,23,10945.0
57,3,mazda glc,gas,std,two,hatchback,rwd,front,953.0,169.0,657.0,496.0,2380,rotor,two,70,4bbl,333.0,3255.0,94.0,101,6000,17,23,11845.0
58,3,mazda rx-7 gs,gas,std,two,hatchback,rwd,front,953.0,169.0,657.0,496.0,2385,rotor,two,70,4bbl,333.0,3255.0,94.0,101,6000,17,23,13645.0
59,3,mazda glc 4,gas,std,two,hatchback,rwd,front,953.0,169.0,657.0,496.0,2500,rotor,two,80,mpfi,333.0,3255.0,94.0,135,6000,16,23,15645.0
60,1,mazda 626,gas,std,two,hatchback,fwd,front,988.0,1778.0,665.0,537.0,2385,ohc,four,122,2bbl,339.0,339.0,86.0,84,4800,26,32,8845.0
61,0,mazda glc custom l,gas,std,four,sedan,fwd,front,988.0,1778.0,665.0,555.0,2410,ohc,four,122,2bbl,339.0,339.0,86.0,84,4800,26,32,8495.0
62,1,mazda glc custom,gas,std,two,hatchback,fwd,front,988.0,1778.0,665.0,537.0,2385,ohc,four,122,2bbl,339.0,339.0,86.0,84,4800,26,32,10595.0
63,0,mazda rx-4,gas,std,four,sedan,fwd,front,988.0,1778.0,665.0,555.0,2410,ohc,four,122,2bbl,339.0,339.0,86.0,84,4800,26,32,10245.0
64,0,mazda glc deluxe,diesel,std,four,sedan,fwd,front,988.0,1778.0,665.0,555.0,2443,ohc,four,122,idi,339.0,339.0,227.0,64,4650,36,42,10795.0
65,0,mazda 626,gas,std,four,hatchback,fwd,front,988.0,1778.0,665.0,555.0,2425,ohc,four,122,2bbl,339.0,339.0,86.0,84,4800,26,32,11245.0
66,0,mazda glc,gas,std,four,sedan,rwd,front,1049.0,175.0,661.0,544.0,2670,ohc,four,140,mpfi,376.0,316.0,8.0,120,5000,19,27,18280.0
67,0,mazda rx-7 gs,diesel,std,four,sedan,rwd,front,1049.0,175.0,661.0,544.0,2700,ohc,four,134,idi,343.0,364.0,22.0,72,4200,31,39,18344.0
68,-1,buick electra 225 custom,diesel,turbo,four,sedan,rwd,front,110.0,1909.0,703.0,565.0,3515,ohc,five,183,idi,358.0,364.0,215.0,123,4350,22,25,25552.0
69,-1,buick century luxus (sw),diesel,turbo,four,wagon,rwd,front,110.0,1909.0,703.0,587.0,3750,ohc,five,183,idi,358.0,364.0,215.0,123,4350,22,25,28248.0
70,0,buick century,diesel,turbo,two,hardtop,rwd,front,1067.0,1875.0,703.0,549.0,3495,ohc,five,183,idi,358.0,364.0,215.0,123,4350,22,25,28176.0
71,-1,buick skyhawk,diesel,turbo,four,sedan,rwd,front,1156.0,2026.0,717.0,563.0,3770,ohc,five,183,idi,358.0,364.0,215.0,123,4350,22,25,31600.0
72,-1,buick opel isuzu deluxe,gas,std,four,sedan,rwd,front,1156.0,2026.0,717.0,565.0,3740,ohcv,eight,234,mpfi,346.0,31.0,83.0,155,4750,16,18,34184.0
73,3,buick skylark,gas,std,two,convertible,rwd,front,966.0,1803.0,705.0,508.0,3685,ohcv,eight,234,mpfi,346.0,31.0,83.0,155,4750,16,18,35056.0
74,0,buick century special,gas,std,four,sedan,rwd,front,1209.0,2081.0,717.0,567.0,3900,ohcv,eight,308,mpfi,38.0,335.0,8.0,184,4500,14,16,40960.0
75,1,buick regal sport coupe (turbo),gas,std,two,hardtop,rwd,front,112.0,1992.0,72.0,554.0,3715,ohcv,eight,304,mpfi,38.0,335.0,8.0,184,4500,14,16,45400.0
76,1,mercury cougar,gas,turbo,two,hatchback,rwd,front,1027.0,1784.0,68.0,548.0,2910,ohc,four,140,mpfi,378.0,312.0,8.0,175,5000,19,24,16503.0
77,2,mitsubishi mirage,gas,std,two,hatchback,fwd,front,937.0,1573.0,644.0,508.0,1918,ohc,four,92,2bbl,297.0,323.0,94.0,68,5500,37,41,5389.0
78,2,mitsubishi lancer,gas,std,two,hatchback,fwd,front,937.0,1573.0,644.0,508.0,1944,ohc,four,92,2bbl,297.0,323.0,94.0,68,5500,31,38,6189.0
79,2,mitsubishi outlander,gas,std,two,hatchback,fwd,front,937.0,1573.0,644.0,508.0,2004,ohc,four,92,2bbl,297.0,323.0,94.0,68,5500,31,38,6669.0
80,1,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,93.0,1573.0,638.0,508.0,2145,ohc,four,98,spdi,303.0,339.0,76.0,102,5500,24,30,7689.0
81,3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,963.0,173.0,654.0,494.0,2370,ohc,four,110,spdi,317.0,346.0,75.0,116,5500,23,30,9959.0
82,3,mitsubishi g4,gas,std,two,hatchback,fwd,front,963.0,173.0,654.0,494.0,2328,ohc,four,122,2bbl,335.0,346.0,85.0,88,5000,25,32,8499.0
83,3,mitsubishi outlander,gas,turbo,two,hatchback,fwd,front,959.0,1732.0,663.0,502.0,2833,ohc,four,156,spdi,358.0,386.0,7.0,145,5000,19,24,12629.0
84,3,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,959.0,1732.0,663.0,502.0,2921,ohc,four,156,spdi,359.0,386.0,7.0,145,5000,19,24,14869.0
85,3,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,959.0,1732.0,663.0,502.0,2926,ohc,four,156,spdi,359.0,386.0,7.0,145,5000,19,24,14489.0
86,1,mitsubishi montero,gas,std,four,sedan,fwd,front,963.0,1724.0,654.0,516.0,2365,ohc,four,122,2bbl,335.0,346.0,85.0,88,5000,25,32,6989.0
87,1,mitsubishi pajero,gas,std,four,sedan,fwd,front,963.0,1724.0,654.0,516.0,2405,ohc,four,122,2bbl,335.0,346.0,85.0,88,5000,25,32,8189.0
88,1,mitsubishi outlander,gas,turbo,four,sedan,fwd,front,963.0,1724.0,654.0,516.0,2403,ohc,four,110,spdi,317.0,346.0,75.0,116,5500,23,30,9279.0
89,-1,mitsubishi mirage g4,gas,std,four,sedan,fwd,front,963.0,1724.0,654.0,516.0,2403,ohc,four,110,spdi,317.0,346.0,75.0,116,5500,23,30,9279.0
90,1,Nissan versa,gas,std,two,sedan,fwd,front,945.0,1653.0,638.0,545.0,1889,ohc,four,97,2bbl,315.0,329.0,94.0,69,5200,31,37,5499.0
91,1,nissan gt-r,diesel,std,two,sedan,fwd,front,945.0,1653.0,638.0,545.0,2017,ohc,four,103,idi,299.0,347.0,219.0,55,4800,45,50,7099.0
92,1,nissan rogue,gas,std,two,sedan,fwd,front,945.0,1653.0,638.0,545.0,1918,ohc,four,97,2bbl,315.0,329.0,94.0,69,5200,31,37,6649.0
93,1,nissan latio,gas,std,four,sedan,fwd,front,945.0,1653.0,638.0,545.0,1938,ohc,four,97,2bbl,315.0,329.0,94.0,69,5200,31,37,6849.0
94,1,nissan titan,gas,std,four,wagon,fwd,front,945.0,1702.0,638.0,535.0,2024,ohc,four,97,2bbl,315.0,329.0,94.0,69,5200,31,37,7349.0
95,1,nissan leaf,gas,std,two,sedan,fwd,front,945.0,1653.0,638.0,545.0,1951,ohc,four,97,2bbl,315.0,329.0,94.0,69,5200,31,37,7299.0
96,1,nissan juke,gas,std,two,hatchback,fwd,front,945.0,1656.0,638.0,533.0,2028,ohc,four,97,2bbl,315.0,329.0,94.0,69,5200,31,37,7799.0
97,1,nissan latio,gas,std,four,sedan,fwd,front,945.0,1653.0,638.0,545.0,1971,ohc,four,97,2bbl,315.0,329.0,94.0,69,5200,31,37,7499.0
98,1,nissan note,gas,std,four,wagon,fwd,front,945.0,1702.0,638.0,535.0,2037,ohc,four,97,2bbl,315.0,329.0,94.0,69,5200,31,37,7999.0
99,2,nissan clipper,gas,std,two,hardtop,fwd,front,951.0,1624.0,638.0,533.0,2008,ohc,four,97,2bbl,315.0,329.0,94.0,69,5200,31,37,8249.0
100,0,nissan rogue,gas,std,four,hatchback,fwd,front,972.0,1734.0,652.0,547.0,2324,ohc,four,120,2bbl,333.0,347.0,85.0,97,5200,27,34,8949.0
101,0,nissan nv200,gas,std,four,sedan,fwd,front,972.0,1734.0,652.0,547.0,2302,ohc,four,120,2bbl,333.0,347.0,85.0,97,5200,27,34,9549.0
102,0,nissan dayz,gas,std,four,sedan,fwd,front,1004.0,1817.0,665.0,551.0,3095,ohcv,six,181,mpfi,343.0,327.0,9.0,152,5200,17,22,13499.0
103,0,nissan fuga,gas,std,four,wagon,fwd,front,1004.0,1846.0,665.0,561.0,3296,ohcv,six,181,mpfi,343.0,327.0,9.0,152,5200,17,22,14399.0
104,0,nissan otti,gas,std,four,sedan,fwd,front,1004.0,1846.0,665.0,551.0,3060,ohcv,six,181,mpfi,343.0,327.0,9.0,152,5200,19,25,13499.0
105,3,nissan teana,gas,std,two,hatchback,rwd,front,913.0,1707.0,679.0,497.0,3071,ohcv,six,181,mpfi,343.0,327.0,9.0,160,5200,19,25,17199.0
106,3,nissan kicks,gas,turbo,two,hatchback,rwd,front,913.0,1707.0,679.0,497.0,3139,ohcv,six,181,mpfi,343.0,327.0,78.0,200,5200,17,23,19699.0
107,1,nissan clipper,gas,std,two,hatchback,rwd,front,992.0,1785.0,679.0,497.0,3139,ohcv,six,181,mpfi,343.0,327.0,9.0,160,5200,19,25,18399.0
108,0,peugeot 504,gas,std,four,sedan,rwd,front,1079.0,1867.0,684.0,567.0,3020,l,four,120,mpfi,346.0,319.0,84.0,97,5000,19,24,11900.0
109,0,peugeot 304,diesel,turbo,four,sedan,rwd,front,1079.0,1867.0,684.0,567.0,3197,l,four,152,idi,37.0,352.0,21.0,95,4150,28,33,13200.0
110,0,peugeot 504 (sw),gas,std,four,wagon,rwd,front,1142.0,1989.0,684.0,587.0,3230,l,four,120,mpfi,346.0,319.0,84.0,97,5000,19,24,12440.0
111,0,peugeot 504,diesel,turbo,four,wagon,rwd,front,1142.0,1989.0,684.0,587.0,3430,l,four,152,idi,37.0,352.0,21.0,95,4150,25,25,13860.0
112,0,peugeot 504,gas,std,four,sedan,rwd,front,1079.0,1867.0,684.0,567.0,3075,l,four,120,mpfi,346.0,219.0,84.0,95,5000,19,24,15580.0
113,0,peugeot 604sl,diesel,turbo,four,sedan,rwd,front,1079.0,1867.0,684.0,567.0,3252,l,four,152,idi,37.0,352.0,21.0,95,4150,28,33,16900.0
114,0,peugeot 504,gas,std,four,wagon,rwd,front,1142.0,1989.0,684.0,567.0,3285,l,four,120,mpfi,346.0,219.0,84.0,95,5000,19,24,16695.0
115,0,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,1142.0,1989.0,684.0,587.0,3485,l,four,152,idi,37.0,352.0,21.0,95,4150,25,25,17075.0
116,0,peugeot 504,gas,std,four,sedan,rwd,front,1079.0,1867.0,684.0,567.0,3075,l,four,120,mpfi,346.0,319.0,84.0,97,5000,19,24,16630.0
117,0,peugeot 504,diesel,turbo,four,sedan,rwd,front,1079.0,1867.0,684.0,567.0,3252,l,four,152,idi,37.0,352.0,21.0,95,4150,28,33,17950.0
118,0,peugeot 604sl,gas,turbo,four,sedan,rwd,front,108.0,1867.0,683.0,56.0,3130,l,four,134,mpfi,361.0,321.0,7.0,142,5600,18,24,18150.0
119,1,plymouth fury iii,gas,std,two,hatchback,fwd,front,937.0,1573.0,638.0,508.0,1918,ohc,four,90,2bbl,297.0,323.0,94.0,68,5500,37,41,5572.0
120,1,plymouth cricket,gas,turbo,two,hatchback,fwd,front,937.0,1573.0,638.0,508.0,2128,ohc,four,98,spdi,303.0,339.0,76.0,102,5500,24,30,7957.0
121,1,plymouth fury iii,gas,std,four,hatchback,fwd,front,937.0,1573.0,638.0,506.0,1967,ohc,four,90,2bbl,297.0,323.0,94.0,68,5500,31,38,6229.0
122,1,plymouth satellite custom (sw),gas,std,four,sedan,fwd,front,937.0,1673.0,638.0,508.0,1989,ohc,four,90,2bbl,297.0,323.0,94.0,68,5500,31,38,6692.0
123,1,plymouth fury gran sedan,gas,std,four,sedan,fwd,front,937.0,1673.0,638.0,508.0,2191,ohc,four,98,2bbl,297.0,323.0,94.0,68,5500,31,38,7609.0
124,-1,plymouth valiant,gas,std,four,wagon,fwd,front,1033.0,1746.0,646.0,598.0,2535,ohc,four,122,2bbl,335.0,346.0,85.0,88,5000,24,30,8921.0
125,3,plymouth duster,gas,turbo,two,hatchback,rwd,front,959.0,1732.0,663.0,502.0,2818,ohc,four,156,spdi,359.0,386.0,7.0,145,5000,19,24,12764.0
126,3,porsche macan,gas,std,two,hatchback,rwd,front,945.0,1689.0,683.0,502.0,2778,ohc,four,151,mpfi,394.0,311.0,95.0,143,5500,19,27,22018.0
127,3,porcshce panamera,gas,std,two,hardtop,rwd,rear,895.0,1689.0,65.0,516.0,2756,ohcf,six,194,mpfi,374.0,29.0,95.0,207,5900,17,25,32528.0
128,3,porsche cayenne,gas,std,two,hardtop,rwd,rear,895.0,1689.0,65.0,516.0,2756,ohcf,six,194,mpfi,374.0,29.0,95.0,207,5900,17,25,34028.0
129,3,porsche boxter,gas,std,two,convertible,rwd,rear,895.0,1689.0,65.0,516.0,2800,ohcf,six,194,mpfi,374.0,29.0,95.0,207,5900,17,25,37028.0
130,1,porsche cayenne,gas,std,two,hatchback,rwd,front,984.0,1757.0,723.0,505.0,3366,dohcv,eight,203,mpfi,394.0,311.0,10.0,288,5750,17,28,314005.0
131,0,renault 12tl,gas,std,four,wagon,fwd,front,961.0,1815.0,665.0,552.0,2579,ohc,four,132,mpfi,346.0,39.0,87.0,90,5100,23,31,9295.0
132,2,renault 5 gtl,gas,std,two,hatchback,fwd,front,961.0,1768.0,666.0,505.0,2460,ohc,four,132,mpfi,346.0,39.0,87.0,90,5100,23,31,9895.0
133,3,saab 99e,gas,std,two,hatchback,fwd,front,991.0,1866.0,665.0,561.0,2658,ohc,four,121,mpfi,354.0,307.0,931.0,110,5250,21,28,11850.0
134,2,saab 99le,gas,std,four,sedan,fwd,front,991.0,1866.0,665.0,561.0,2695,ohc,four,121,mpfi,354.0,307.0,93.0,110,5250,21,28,12170.0
135,3,saab 99le,gas,std,two,hatchback,fwd,front,991.0,1866.0,665.0,561.0,2707,ohc,four,121,mpfi,254.0,207.0,93.0,110,5250,21,28,15040.0
136,2,saab 99gle,gas,std,four,sedan,fwd,front,991.0,1866.0,665.0,561.0,2758,ohc,four,121,mpfi,354.0,307.0,93.0,110,5250,21,28,15510.0
137,3,saab 99gle,gas,turbo,two,hatchback,fwd,front,991.0,1866.0,665.0,561.0,2808,dohc,four,121,mpfi,354.0,307.0,9.0,160,5500,19,26,18150.0
138,2,saab 99e,gas,turbo,four,sedan,fwd,front,991.0,1866.0,665.0,561.0,2847,dohc,four,121,mpfi,354.0,307.0,9.0,160,5500,19,26,18620.0
139,2,subaru,gas,std,two,hatchback,fwd,front,937.0,1569.0,634.0,537.0,2050,ohcf,four,97,2bbl,362.0,236.0,9.0,69,4900,31,36,5118.0
140,2,subaru dl,gas,std,two,hatchback,fwd,front,937.0,1579.0,636.0,537.0,2120,ohcf,four,108,2bbl,362.0,264.0,87.0,73,4400,26,31,7053.0
141,2,subaru dl,gas,std,two,hatchback,4wd,front,933.0,1573.0,638.0,557.0,2240,ohcf,four,108,2bbl,362.0,264.0,87.0,73,4400,26,31,7603.0
142,0,subaru,gas,std,four,sedan,fwd,front,972.0,172.0,654.0,525.0,2145,ohcf,four,108,2bbl,362.0,264.0,95.0,82,4800,32,37,7126.0
143,0,subaru brz,gas,std,four,sedan,fwd,front,972.0,172.0,654.0,525.0,2190,ohcf,four,108,2bbl,362.0,264.0,95.0,82,4400,28,33,7775.0
144,0,subaru baja,gas,std,four,sedan,fwd,front,972.0,172.0,654.0,525.0,2340,ohcf,four,108,mpfi,362.0,264.0,9.0,94,5200,26,32,9960.0
145,0,subaru r1,gas,std,four,sedan,4wd,front,97.0,172.0,654.0,543.0,2385,ohcf,four,108,2bbl,362.0,264.0,9.0,82,4800,24,25,9233.0
146,0,subaru r2,gas,turbo,four,sedan,4wd,front,97.0,172.0,654.0,543.0,2510,ohcf,four,108,mpfi,362.0,264.0,77.0,111,4800,24,29,11259.0
147,0,subaru trezia,gas,std,four,wagon,fwd,front,97.0,1735.0,654.0,53.0,2290,ohcf,four,108,2bbl,362.0,264.0,9.0,82,4800,28,32,7463.0
148,0,subaru tribeca,gas,std,four,wagon,fwd,front,97.0,1735.0,654.0,53.0,2455,ohcf,four,108,mpfi,362.0,264.0,9.0,94,5200,25,31,10198.0
149,0,subaru dl,gas,std,four,wagon,4wd,front,969.0,1736.0,654.0,549.0,2420,ohcf,four,108,2bbl,362.0,264.0,9.0,82,4800,23,29,8013.0
150,0,subaru dl,gas,turbo,four,wagon,4wd,front,969.0,1736.0,654.0,549.0,2650,ohcf,four,108,mpfi,362.0,264.0,77.0,111,4800,23,23,11694.0
151,1,toyota corona mark ii,gas,std,two,hatchback,fwd,front,957.0,1587.0,636.0,545.0,1985,ohc,four,92,2bbl,305.0,303.0,9.0,62,4800,35,39,5348.0
152,1,toyota corona,gas,std,two,hatchback,fwd,front,957.0,1587.0,636.0,545.0,2040,ohc,four,92,2bbl,305.0,303.0,9.0,62,4800,31,38,6338.0
153,1,toyota corolla 1200,gas,std,four,hatchback,fwd,front,957.0,1587.0,636.0,545.0,2015,ohc,four,92,2bbl,305.0,303.0,9.0,62,4800,31,38,6488.0
154,0,toyota corona hardtop,gas,std,four,wagon,fwd,front,957.0,1697.0,636.0,591.0,2280,ohc,four,92,2bbl,305.0,303.0,9.0,62,4800,31,37,6918.0
